id,latitude,longitude,name,type,color
V32007,42.41250451,-71.05842225,Ferry St at Pleasantview Ave,Blue Bike,282891
C32041,42.2996667,-71.0605833,Fields Corner T Stop,Blue Bike,282891
E32010,42.300923,-71.114249,Forest Hills,Blue Bike,282891
S32015,42.39108438,-71.09039426,Foss Park,Blue Bike,282891
C32037,42.30412793,-71.07929528,Four Corners - 157 Washington St,Blue Bike,282891
C32027,42.309796,-71.092225,Franklin Park - Seaver St at Humbolt Ave,Blue Bike,282891
C32030,42.303469,-71.085347,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,Blue Bike,282891
M32051,42.38267828,-71.14347895,Fresh Pond Reservation,Blue Bike,282891
C32040,42.28297568,-71.05466698,Gallivan Blvd at Adams St,Blue Bike,282891
C32090,42.31886468,-71.04536798,Geiger Gibson Community Health Center,Blue Bike,282891
V32006,42.41427294,-71.04479656,Glendale Square (Ferry St at Broadway),Blue Bike,282891
A32034,42.38240378,-71.03024304,Glendon St at Condor St,Blue Bike,282891
B32032,42.35980252,-71.05960783,Government Center - Cambridge St at Court St,Blue Bike,282891
E32005,42.310579,-71.107341,Green Street T Stop - Green St at Amory St,Blue Bike,282891
B32028,42.30791,-71.080952,Grove Hall Library - 41 Geneva Ave,Blue Bike,282891
S32019,42.39638681,-71.12011306,Grove St at Community Path,Blue Bike,282891
D32043,42.3494261,-71.0620996,Harrison Ave at Bennet St,Blue Bike,282891
C32057,42.34521562,-71.06384031,Harrison Ave at Mullins Way,Blue Bike,282891
D32035,42.34953017,-71.13022771,Harvard Ave at Brainerd Rd,Blue Bike,282891
M32016,42.3722168,-71.12188071,Harvard Kennedy School at Bennett St / Eliot St,Blue Bike,282891
M32020,42.379011,-71.119945,Harvard Law School at Mass Ave / Jarvis St,Blue Bike,282891
M32017,42.373231,-71.120886,Harvard Square at Brattle St / Eliot St,Blue Bike,282891
M32018,42.373268,-71.118579,Harvard Square at Mass Ave/ Dunster,Blue Bike,282891
M32055,42.36599433,-71.09522222,Harvard St at Greene-Rose Heritage Park,Blue Bike,282891
M32023,42.377945,-71.116865,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Blue Bike,282891
M32021,42.376369,-71.114025,Harvard University Gund Hall at Quincy St / Kirkland St,Blue Bike,282891
M32014,42.366621,-71.114214,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Blue Bike,282891
M32024,42.380287,-71.125107,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Blue Bike,282891
M32038,42.36919032,-71.11714125,Harvard University River Houses at DeWolfe St / Cowperthwaite St,Blue Bike,282891
D32026,42.377022,-71.056605,Hayes Square - Vine St at Moulton St,Blue Bike,282891
K32010,42.32538436,-71.12177596,High St at Cypress St,Blue Bike,282891
B32003,42.33741748,-71.10286117,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,Blue Bike,282891
A32040,42.3602737,-71.12852452,Honan Library,Blue Bike,282891
B32033,42.33658555,-71.09886996,Huntington Ave at Mass Art,Blue Bike,282891
M32044,42.38165061,-71.13426982,Huron Ave At Vassal Lane,Blue Bike,282891
C32089,42.29606705,-71.116012,Hyde Park Ave at Walk Hill St,Blue Bike,282891
E32003,42.32176526,-71.10984161,Hyde Square - Barbara St at Centre St,Blue Bike,282891
C32020,42.344827,-71.028664,ID Building East,Blue Bike,282891
C32021,42.344796,-71.031614,ID Building West,Blue Bike,282891
C32025,42.345901,-71.063187,Ink Block - Harrison Ave at Herald St,Blue Bike,282891
M32062,42.37438409,-71.10015746,Inman Square at Springfield St.,Blue Bike,282891
A32011,42.36314499,-71.12298574,Innovation Lab - 125 Western Ave at Batten Way,Blue Bike,282891
E32006,42.32293117,-71.10014141,Jackson Square T Stop,Blue Bike,282891
D32052,42.30604563,-71.11570891,Jamaica St at South St,Blue Bike,282891
K32004,42.346563,-71.128374,JFK Crossing at Harvard St. / Thorndike St.,Blue Bike,282891
C32013,42.32033974,-71.05118036,JFK/UMass T Stop,Blue Bike,282891
M32032,42.36356016,-71.08216792,Kendall Street,Blue Bike,282891
M32004,42.36242784,-71.08495474,Kendall T,Blue Bike,282891
B32010,42.348706,-71.097009,Kenmore Square,Blue Bike,282891
M32065,42.36955298,-71.08579015,Kennedy-Longfellow School 158 Spring St,Blue Bike,282891
M32009,42.36346469,-71.10057324,Lafayette Square at Mass Ave / Main St / Columbia St,Blue Bike,282891
B32058,42.34734473,-71.10016808,Lansdowne T Stop,Blue Bike,282891
M32001,42.370677,-71.076529,Lechmere Station at Cambridge St / First St,Blue Bike,282891
M32039,42.38674802,-71.11901879,Lesley University,Blue Bike,282891
D32006,42.363871,-71.050877,Lewis Wharf at Atlantic Ave,Blue Bike,282891
M32025,42.397828,-71.130516,Linear Park - Mass. Ave. at Cameron Ave. ,Blue Bike,282891
A32004,42.338629,-71.1065,Longwood Ave at Binney St,Blue Bike,282891
M32022,42.3572185,-71.11387163,Lower Cambridgeport at Magazine St / Riverside Rd,Blue Bike,282891
S32013,42.398365,-71.107818,Magoun Square at Trum Field,Blue Bike,282891
D32020,42.375603,-71.064608,Main St at Austin St,Blue Bike,282891
D32036,42.380857,-71.070629,Main St at Baldwin St,Blue Bike,282891
V32010,42.40933007,-71.06381878,Main St at Beacon St,Blue Bike,282891
D32038,42.37487847,-71.06383499,Main St at Thompson Sq,Blue Bike,282891
V32002,42.40413,-71.0613,Main Street at Carter Street,Blue Bike,282891
K32012,42.33978053,-71.1213335,Marion St at Harvard St,Blue Bike,282891
M32061,42.36135838,-71.09670274,Mass Ave at Albany St,Blue Bike,282891
M32056,42.39120972,-71.12260755,Mass Ave at Hadley/Walden,Blue Bike,282891
C32063,42.34135616,-71.08336953,Mass Ave T Station,Blue Bike,282891
C32004,42.34054262,-71.08138848,Massachusetts Ave at Columbus Ave,Blue Bike,282891
C32050,42.2773889,-71.09325,Mattapan Library,Blue Bike,282891
C32045,42.267902,-71.093641,Mattapan T Stop,Blue Bike,282891
A32030,42.36884408,-71.03977829,Maverick Square - Lewis Mall,Blue Bike,282891
A32044,42.36774122,-71.03335975,Maverick St at Massport Path,Blue Bike,282891
D32037,42.38042947,-71.06055722,Medford St at Charlestown BCYF,Blue Bike,282891
M32006,42.3581,-71.093198,MIT at Mass Ave / Amherst St,Blue Bike,282891
M32041,42.3595732,-71.10129476,MIT Pacific St at Purrington St,Blue Bike,282891
M32005,42.36213123,-71.09115601,MIT Stata Center at Vassar St / Main St,Blue Bike,282891
M32042,42.35560121,-71.10394478,MIT Vassar St,Blue Bike,282891
B32023,42.32143814,-71.09126061,MLK Blvd at Washington St,Blue Bike,282891
C23045,42.28072514,-71.08617242,Morton St T,Blue Bike,282891
M32043,42.37478629,-71.13320231,Mt Auburn,Blue Bike,282891
C32080,42.28484472,-71.11874517,Mt. Hope St at Hyde Park Ave,Blue Bike,282891
D32017,42.35553628,-71.0728687,Mugar Way at Beacon St,Blue Bike,282891
C32023,42.336448,-71.023739,Murphy Skating Rink - 1880 Day Blvd,Blue Bike,282891
M32045,42.36769018,-71.07116282,Museum of Science,Blue Bike,282891
A32025,42.365673,-71.064263,Nashua Street at Red Auerbach Way,Blue Bike,282891
B32027,42.316902,-71.091946,NCAAA - Walnut Ave at Crawford St,Blue Bike,282891
D32001,42.35732922,-71.1467354,New Balance - 20 Guest St,Blue Bike,282891
B32000,42.348717,-71.085954,Newbury St at Hereford St,Blue Bike,282891
C32022,42.326599,-71.066498,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,Blue Bike,282891
V32001,42.40985878,-71.06631868,Norman St at Kelvin St,Blue Bike,282891
C32078,42.29118035,-71.11773666,Northbourne Rd at Hyde Park Ave,Blue Bike,282891
B32012,42.341814,-71.090179,Northeastern University - North Parking Lot,Blue Bike,282891
D32031,42.35057,-71.166491,Oak Square - 615 Washington St,Blue Bike,282891
B32036,42.3339227,-71.10446509,One Brigham Circle,Blue Bike,282891
M32003,42.36224179,-71.08311072,One Broadway / Kendall Sq at Main St / 3rd St,Blue Bike,282891
M32002,42.366277,-71.09169,One Kendall Square at Hampshire St / Portland St,Blue Bike,282891
M32053,42.36161932,-71.08043551,One Memorial Drive,Blue Bike,282891
A32035,42.386781,-71.006098,Orient Heights T Stop - Bennington St at Saratoga St,Blue Bike,282891
S32009,42.40449,-71.123413,Packard Ave at Powderhouse Blvd,Blue Bike,282891
A32012,42.352261,-71.123831,Packard's Corner - Commonwealth Ave at Brighton Ave,Blue Bike,282891
A32008,42.347241,-71.105301,Park Dr at Buswell St,Blue Bike,282891
D32042,42.35182807,-71.06781138,Park Plaza at Charles St S.,Blue Bike,282891
C32039,42.2944167,-71.0783056,Park St at Norwell St,Blue Bike,282891
S32034,42.37927325,-71.10341903,Perry Park,Blue Bike,282891
A32029,42.36489293,-71.03497177,Piers Park,Blue Bike,282891
M32029,42.387995,-71.119084,Porter Square Station,Blue Bike,282891
D32012,42.35585436,-71.05459746,Post Office Square,Blue Bike,282891
S32008,42.400877,-71.116772,Powder House Circle - Nathan Tufts Park,Blue Bike,282891
C32007,42.34652004,-71.08065777,Prudential Center - 101 Huntington Ave,Blue Bike,282891
A32026,42.354659,-71.053181,Purchase St at Pearl St,Blue Bike,282891
M32036,42.392766,-71.129042,Rindge Avenue - O'Neill Library,Blue Bike,282891
C32058,42.34827839,-71.08044855,Ring Rd,Blue Bike,282891
M32035,42.36575798,-71.07699394,Rogers St & Land Blvd,Blue Bike,282891
C32047,42.287072,-71.127754,Roslindale Village - South St,Blue Bike,282891
C32046,42.28630716,-71.12820532,Roslindale Village - Washington St,Blue Bike,282891
D32008,42.357143,-71.050699,Rowes Wharf at Atlantic Ave,Blue Bike,282891
C32001,42.331184,-71.095171,Roxbury Crossing T Stop - Columbus Ave at Tremont St,Blue Bike,282891
B32022,42.31787329,-71.08243078,Roxbury YMCA - Warren St at MLK Blvd,Blue Bike,282891
B32002,42.33624445,-71.08798563,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,Blue Bike,282891
C32031,42.317642,-71.056664,Ryan Playground - Dorchester Ave at Harbor View St,Blue Bike,282891
E32007,42.32760387,-71.1108917,S Huntington Ave at Heath St,Blue Bike,282891
C32033,42.3106,-71.0539,Savin Hill T Stop - S Sydney St at Bay St,Blue Bike,282891
C32036,42.35317809,-71.04817357,Seaport Blvd at Sleeper St,Blue Bike,282891
B32014,42.34881026,-71.04167744,Seaport Hotel - Congress St at Seaport Ln,Blue Bike,282891
B32007,42.35148193,-71.04436085,Seaport Square - Seaport Blvd at Northern Ave,Blue Bike,282891
M32063,42.36860524,-71.09930186,Sennott Park  Broadway at Norfolk Street,Blue Bike,282891
D32048,42.34854543,-71.06559185,Shawmut Ave at Oak St W,Blue Bike,282891
E32009,42.292917,-71.06575,Shawmut T Stop,Blue Bike,282891
M32047,42.35775309,-71.10393405,Sidney Research Campus/ Erie Street at Waverly,Blue Bike,282891
D32032,42.349496,-71.10057592,Silber Way,Blue Bike,282891
A32006,42.36426344,-71.1182757,Soldiers Field Park - 111 Western Ave,Blue Bike,282891
S32001,42.386844,-71.09812,Somerville City Hall,Blue Bike,282891
S32036,42.39189812,-71.09745376,Somerville City Hall Annex,Blue Bike,282891
S32020,42.39678589,-71.10237297,Somerville Hospital,Blue Bike,282891
C32017,42.335741,-71.03877,South Boston Library - 646 E Broadway,Blue Bike,282891
A32009,42.341332,-71.076847,South End Library - Tremont St at W Newton St,Blue Bike,282891
A32010,42.352175,-71.055547,South Station - 700 Atlantic Ave,Blue Bike,282891
D32023,42.378338,-71.048927,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Blue Bike,282891
C32087,42.27748444,-71.16341468,Spring St at Powell St,Blue Bike,282891
K32007,42.34619708,-71.10728681,St Mary's,Blue Bike,282891
C32024,42.344137,-71.052608,State Street at Channel Center,Blue Bike,282891
D32041,42.316966,-71.104374,Stony Brook T Stop,Blue Bike,282891
D32049,42.34954403,-71.07242074,Stuart St at Berkeley St,Blue Bike,282891
D32011,42.351146,-71.066289,Stuart St at Charles St,Blue Bike,282891
D32053,42.38445226,-71.07514855,Sullivan Square,Blue Bike,282891
A32013,42.358155,-71.052163,Surface Rd at India St,Blue Bike,282891
A32042,42.3529457,-71.05656401,Surface Rd at Summer St,Blue Bike,282891
C32064,42.32039374,-71.05355408,Sydney St at Carson St,Blue Bike,282891
C32043,42.2945833,-71.087111,Talbot Ave At Blue Hill Ave,Blue Bike,282891
K32008,42.33209606,-71.12845883,Tappan St at Brookline Hills MBTA,Blue Bike,282891
S32011,42.40203828,-71.12653291,Teele Square,Blue Bike,282891
E32011,42.31930943,-71.09639924,The Dimock Center,Blue Bike,282891
A32033,42.370744,-71.044201,The Eddy - New St at Sumner St,Blue Bike,282891
C32028,42.344792,-71.044024,The Lawn on D,Blue Bike,282891
C32049,42.28621295,-71.07942931,Thetford Ave at Norfolk St,Blue Bike,282891
M32048,42.36544486,-71.08277142,Third at Binney,Blue Bike,282891
C32000,42.345392,-71.069616,Tremont St at E Berkeley St,Blue Bike,282891
B32056,42.35668335,-71.06166646,Tremont St at Hamilton Pl,Blue Bike,282891
C32056,42.3388956,-71.08149976,Tremont St at Northampton St,Blue Bike,282891
C32060,42.34254914,-71.07421449,Tremont St at W. Dedham St,Blue Bike,282891
D32014,42.354979,-71.063348,Tremont St at West St,Blue Bike,282891
C32035,42.343749,-71.062256,Troy Boston,Blue Bike,282891
A32001,42.353334,-71.137313,Union Square - Brighton Ave at Cambridge St,Blue Bike,282891
S32002,42.37967448,-71.09391324,Union Square - Somerville,Blue Bike,282891
C32014,42.31218918,-71.03648586,University of Massachusetts Boston - Campus Center,Blue Bike,282891
M32040,42.36264779,-71.10006094,University Park,Blue Bike,282891
C32019,42.31727474,-71.06537004,Uphams Corner,Blue Bike,282891
B32025,42.31869734,-71.06978148,Uphams Corner T Stop - Magnolia St at Dudley St,Blue Bike,282891
M32057,42.38393225,-71.13961272,Vassal Lane at Tobin/VLUS,Blue Bike,282891
M32050,42.37250865,-71.11305356,Verizon Innovation Hub 10 Ware Street,Blue Bike,282891
C32029,42.3391085,-71.0514432,W Broadway at D St,Blue Bike,282891
C32016,42.33595898,-71.046229,W Broadway at Dorchester St,Blue Bike,282891
B32030,42.324081,-71.083235,Walnut Ave at Warren St,Blue Bike,282891
D32021,42.371848,-71.060292,Warren St at Chelsea St,Blue Bike,282891
C32042,42.29916498,-71.07345872,Washington St at Bradlee St,Blue Bike,282891
D32029,42.34895285,-71.16031677,Washington St at Brock St,Blue Bike,282891
C32081,42.28072815,-71.13423757,Washington St at Denton Terr,Blue Bike,282891
A32037,42.34286835,-71.14127841,Washington St at Egremont Rd,Blue Bike,282891
C32084,42.28198628,-71.07147925,Washington St at Fuller St,Blue Bike,282891
K32011,42.33833424,-71.1305093,Washington St at Griggs Rd,Blue Bike,282891
C32005,42.33509899,-71.07903779,Washington St at Lenox St,Blue Bike,282891
B32026,42.332817,-71.081198,Washington St at Melnea Cass Blvd,Blue Bike,282891
S32021,42.380998,-71.08721308,Washington St at Myrtle St,Blue Bike,282891
C32067,42.34303291,-71.0668873,Washington St at Peters Park,Blue Bike,282891
C32006,42.3385146,-71.07404083,Washington St at Rutland St,Blue Bike,282891
C32038,42.290333,-71.071806,Washington St at Talbot Ave,Blue Bike,282891
C32083,42.2771947,-71.06955614,Washington St at Walsh Playground,Blue Bike,282891
D32002,42.34155985,-71.06886953,Washington St at Waltham St,Blue Bike,282891
C32034,42.351586,-71.04569256,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Blue Bike,282891
B32021,42.33758601,-71.09627098,Wentworth Institute of Technology - Huntington Ave at Vancouver St,Blue Bike,282891
D32022,42.36590788,-71.06446669,West End Park,Blue Bike,282891
A32043,42.36178741,-71.14393111,Western Ave at Richardson St,Blue Bike,282891
B32059,42.33286288,-71.09218862,Whittier St Health Center,Blue Bike,282891
D32040,42.306539,-71.107669,Williams St at Washington St,Blue Bike,282891
S32005,42.38567579,-71.11412136,Wilson Square,Blue Bike,282891
MS_1,42.37143,-71.0377,Dante Alighieri Montessori School,Boston Public Middle Schools,32a840
MS-2,42.309071,-71.075409,Lilla G. Frederick Pilot Middle School,Boston Public Middle Schools,32a841
MS_3,42.3476,-71.06388,Josiah Quincy Upper School,Boston Public Middle Schools,32a842
MS-4,42.35028,-71.14535,Boston Green Academy,Boston Public Middle Schools,32a843
MS_5,42.281239,-71.069659,Dr. William W. henderson Inclusion School,Boston Public Middle Schools,32a844
MS_6,42.284775,-71.076146,TechBoston Academy,Boston Public Middle Schools,32a845
MS_7,42.326519,-71.080737,Dearborn STEM Academy,Boston Public Middle Schools,32a846
MS_8,42.283742,-71.125056,Washington Irving Middle School,Boston Public Middle Schools,32a847
MS_9,42.330952,-71.091057,Timilty Middle School,Boston Public Middle Schools,32a848
